N,P,AVERAGE CONNECTIVITY
41,0.6000000000000001,0.5919074201266957
41,0.7000000000000001,0.6777060271897394
41,0.8,0.8059608391137436
41,0.9,0.909521734389589
41,1.0,1.0
42,0.1,0.039455782312925174
42,0.2,0.22209060780489354
42,0.30000000000000004,0.3200510194262959
42,0.4,0.4121674985783786
42,0.5,0.4978737064350715
42,0.6000000000000001,0.5977316480335524
42,0.7000000000000001,0.7058825330777657
42,0.8,0.798248690214004
42,0.9,0.8902093229096698
42,1.0,1.0
43,0.1,0.0820648343904158
43,0.2,0.24377682660856387
43,0.30000000000000004,0.256330445660131
43,0.4,0.3829496916472222
43,0.5,0.5170617840275248
43,0.6000000000000001,0.6061871876525213
43,0.7000000000000001,0.7105695333087756
43,0.8,0.8107171216589031
43,0.9,0.9031623713688307
43,1.0,1.0
44,0.1,0.10876623376623379
44,0.2,0.18526170798898073
44,0.30000000000000004,0.27880887446043656
44,0.4,0.3872274743035369
44,0.5,0.5108273207019688
44,0.6000000000000001,0.6218117635273209
44,0.7000000000000001,0.7069972371087537
44,0.8,0.7620581875239538
44,0.9,0.8950306361018836
44,1.0,1.0
45,0.1,0.08920634920634922
45,0.2,0.19356495356495354
45,0.30000000000000004,0.3042297285331341
45,0.4,0.40854016910724106
45,0.5,0.4267034235280746
45,0.6000000000000001,0.5618149825326465
45,0.7000000000000001,0.6667831403671802
45,0.8,0.8297569779867326
45,0.9,0.8991518226276565
45,1.0,1.0
46,0.1,0.08509316770186336
46,0.2,0.1730774056861014
46,0.30000000000000004,0.2638992330488495
46,0.4,0.4153598013181491
46,0.5,0.48003429734872893
46,0.6000000000000001,0.6047946115761451
46,0.7000000000000001,0.6948846837925041
46,0.8,0.8022143752562417
46,0.9,0.9008675439866151
46,1.0,1.0
47,0.1,0.11399097356544165
47,0.2,0.2212202552002302
47,0.30000000000000004,0.24607811404135757
47,0.4,0.39005098880572514
47,0.5,0.4813008205172614
47,0.6000000000000001,0.6098842409824455
47,0.7000000000000001,0.7069346110413331
47,0.8,0.7799967141193734
47,0.9,0.9058041240715959
47,1.0,1.0
48,0.1,0.11858465608465613
48,0.2,0.17700875513375514
48,0.30000000000000004,0.2817846704021239
48,0.4,0.36493195694005026
48,0.5,0.503300942515064
48,0.6000000000000001,0.6203931723512189
48,0.7000000000000001,0.6997690407002876
48,0.8,0.8011886770139554
48,0.9,0.8922831421218577
48,1.0,1.0
49,0.1,0.1265747857584592
49,0.2,0.18103568766834072
49,0.30000000000000004,0.345772386841762
49,0.4,0.4037145948087899
49,0.5,0.48986261722845875
49,0.6000000000000001,0.5946758580050022
49,0.7000000000000001,0.7190288845291873
49,0.8,0.8178288217184616
49,0.9,0.8908778796801091
49,1.0,1.0
50,0.1,0.09420634920634921
50,0.2,0.20845654345654346
50,0.30000000000000004,0.3182382787491148
50,0.4,0.4113191911756052
50,0.5,0.4870651102686321
50,0.6000000000000001,0.6100395210615452
50,0.7000000000000001,0.6801663620834355
50,0.8,0.8087616315350691
50,0.9,0.8979608381059622
50,1.0,1.0
